Order No,Movie Name,Movie Year,Movie Content URL,Movie Image URL,Movie Discription,Directors,Stars
42,Deep Water,2022,/title/tt2180339/,"https://m.media-amazon.com/images/M/MV5BNTE1M2NjNDgtYjQ2Ny00YTMzLWJiYWQtMTdmM2Q2YjA1MDg1XkEyXkFqcGdeQXVyODk4OTc3MTY@._V1_UX67_CR0,0,67,98_AL_.jpg","
A well-to-do husband who allows his wife to have affairs in order to avoid a divorce becomes a prime suspect in the disappearance of her lovers.",Adrian Lyne,"Ben Affleck, 
Ana de Armas, 
Tracy Letts, 
Grace Jenkins"
43,Father Stu,2022,/title/tt14439896/,"https://m.media-amazon.com/images/M/MV5BNGYwOTI1MTUtYmY0Mi00OTAxLTkwNDEtOTI5YTkyZTVhN2JiXkEyXkFqcGdeQXVyMTAxNDE3MTE5._V1_UY98_CR5,0,67,98_AL_.jpg","
Follows the life of Father Stuart Long, a boxer-turned-priest who inspired countless people during his journey from self-destruction to redemption.",Rosalind Ross,"Mark Wahlberg, 
Mel Gibson, 
Malcolm McDowell, 
Teresa Ruiz"
44,Runway 34,2022,/title/tt11460992/,"https://m.media-amazon.com/images/M/MV5BN2YzNjU4MTYtMzY5OS00ODg0LTkxMTUtNjg0YjRkYzI5ZWJjXkEyXkFqcGdeQXVyODE5NzE3OTE@._V1_UY98_CR3,0,67,98_AL_.jpg","
Inspired by true incidents, ""Runway 34"" revolves around Captain Vikrant Khanna played by Ajay Devgn, a flying prodigy, whose flight takes a mysterious course after take-off from an international destination.",Ajay Devgn,"Ajay Devgn, 
Amitabh Bachchan, 
Rakul Preet Singh, 
Boman Irani"
45,Dog,2022,/title/tt11252248/,"https://m.media-amazon.com/images/M/MV5BYjA2MDM2YjctYzNhNC00NGEzLWFmYWEtODExODFkNmUyOGE2XkEyXkFqcGdeQXVyODk2NDQ3MTA@._V1_UX67_CR0,0,67,98_AL_.jpg","
Two former Army Rangers are paired against their will on the road trip of a lifetime. Briggs (Channing Tatum) and Lulu (a Belgian Malinois) race down the Pacific Coast to get to a fellow soldier's funeral on time.","Reid Carolin, 
Channing Tatum","Channing Tatum, 
Ryder McLaughlin, 
Aavi Haas, 
Luke Forbes"
46,Metal Lords,2022,/title/tt12141112/,"https://m.media-amazon.com/images/M/MV5BNjJjMzI1ZDctMDhmMy00Nzk2LTg5ZjgtNGIyN2QyNDQwMDU5XkEyXkFqcGdeQXVyMTMyNzMxNTcw._V1_UX67_CR0,0,67,98_AL_.jpg","
Two friends try to form a heavy metal band with a cellist for a Battle of the Bands.",Peter Sollett,"Jaeden Martell, 
Adrian Greensmith, 
Isis Hainsworth, 
Noah Urrea"
47,Fresh,2022,/title/tt13403046/,"https://m.media-amazon.com/images/M/MV5BZTgxMGQ2ZDctYWY4Yy00YTI4LWIxMmYtOWViMGI5ZDIwMmFiXkEyXkFqcGdeQXVyMTAyMjQ3NzQ1._V1_UX67_CR0,0,67,98_AL_.jpg","
The horrors of modern dating seen through one young woman's defiant battle to survive her new boyfriend's unusual appetites.",Mimi Cave,"Daisy Edgar-Jones, 
Sebastian Stan, 
Jojo T. Gibbs, 
Andrea Bang"
48,Lightyear,2022,/title/tt10298810/,"https://m.media-amazon.com/images/M/MV5BYTg2Zjk0ZTctM2ZmMi00MDRmLWJjOGYtNWM0YjBmZTBjMjRkXkEyXkFqcGdeQXVyMTM1MTE1NDMx._V1_UX67_CR0,0,67,98_AL_.jpg","
The story of Buzz Lightyear and his adventures to infinity and beyond.",Angus MacLane,"Chris Evans, 
Keke Palmer, 
Dale Soules, 
Taika Waititi"
49,All the Old Knives,2022,/title/tt3706352/,"https://m.media-amazon.com/images/M/MV5BNTZhNDM0MGItYjIwYS00NTMzLWIxYmUtZjIwM2Q4NDhjY2EyXkEyXkFqcGdeQXVyMTM1MTE1NDMx._V1_UX67_CR0,0,67,98_AL_.jpg","
Two CIA agents and ex-lovers (Chris Pine and Thandiwe Newton) are brought back together years after a failed rescue attempt and forced to blur the lines between profession and passion in this deeply riveting tale of global espionage, moral dilemma and deadly betrayal.",Janus Metz,"Goksin Erdemli, 
Kasia Madera, 
Chris Pine, 
Thandiwe Newton"
50,The Twin,2022,/title/tt12390572/,"https://m.media-amazon.com/images/M/MV5BYWEyNTM4M2YtOWY1Ny00ODMxLTg2MTgtZGUzMWYzNDZkMmMyXkEyXkFqcGdeQXVyMjM4NTM5NDY@._V1_UX67_CR0,0,67,98_AL_.jpg","
A mother who needs to confront the unbearable truth about her surviving twin son.",Taneli Mustonen,"Teresa Palmer, 
Steven Cree, 
Tristan Ruggeri, 
Barbara Marten"
51,Monstrous,2022,/title/tt4624366/,"https://m.media-amazon.com/images/M/MV5BMWJmM2I4YzItZmM3MC00OWE0LWI0ZTItMTUwZjJlNjNhNGZmXkEyXkFqcGdeQXVyMjAwNzA4MDE@._V1_UY98_CR3,0,67,98_AL_.jpg","
Story centers on a traumatized woman fleeing from her abusive ex-husband with her 7-year-old son. In their new, remote sanctuary they find they have a bigger, more terrifying monster to deal with.",Chris Sivertson,"Christina Ricci, 
Santino Barnard, 
Don Durrell, 
Colleen Camp"
52,Bullet Train,2022,/title/tt12593682/,"https://m.media-amazon.com/images/M/MV5BNmZkMGJlODktNzMzMC00MmY2LTkzNDgtMjUwOWFiNjFjZGIwXkEyXkFqcGdeQXVyODk4OTc3MTY@._V1_UX67_CR0,0,67,98_AL_.jpg","
Five assassins aboard a fast moving bullet train find out their missions have something in common.",David Leitch,"Sandra Bullock, 
Brad Pitt, 
Zazie Beetz, 
Joey King"
53,Killers of the Flower Moon,2022,/title/tt5537002/,"https://m.media-amazon.com/images/M/MV5BZmMyMDc4NWMtZmUzNC00ZjczLWE1ZmYtYWQ3ZTk4ODBmYzE2XkEyXkFqcGdeQXVyMTkxNjUyNQ@@._V1_UY98_CR40,0,67,98_AL_.jpg","
Members of the Osage tribe in the United States are murdered under mysterious circumstances in the 1920s sparking a major F.B.I. investigation involving J. Edgar Hoover.",Martin Scorsese,"Leonardo DiCaprio, 
Robert De Niro, 
Lily Gladstone, 
Jesse Plemons"
54,Black Adam,2022,/title/tt6443346/,"https://m.media-amazon.com/images/M/MV5BNTAxMGQ2NTQtMDYwMC00NDQ3LTgwYTAtOWYzMjE4OGVkZjk2XkEyXkFqcGdeQXVyODk4OTc3MTY@._V1_UX67_CR0,0,67,98_AL_.jpg","
Nearly 5,000 years after he was bestowed with the almighty powers of the Egyptian gods-and imprisoned just as quickly-Black Adam (Johnson) is freed from his earthly tomb, ready to unleash his unique form of justice on the modern world.",Jaume Collet-Serra,"Dwayne Johnson, 
Sarah Shahi, 
Noah Centineo, 
Pierce Brosnan"
